family,cell,n,wins_up,wr_up,p,wilson_lo,wilson_hi,p_side,q_bh
F1_hist5,16,3089,1564,0.5063127225639366,0.4941618218038738,0.48868460733979413,0.523925155798415,0.2470809109019369,0.3327083681758527
F1_hist5,17,3461,1770,0.5114128864490032,0.18488197097272813,0.4947557099976205,0.5280447551087787,0.09244098548636406,0.18445766321097426
F1_hist5,18,3464,1783,0.5147228637413395,0.08613639262536008,0.49807210969871724,0.5313409984432463,0.04306819631268004,0.11490586752692755
F1_hist5,19,3278,1617,0.49328859060402686,0.45263264708942613,0.4761912455546595,0.5104016478988211,0.22631632354471307,0.3240485788063355
F1_hist5,20,3318,1716,0.5171790235081374,0.04977704047769526,0.5001657508957199,0.5341525621749573,0.02488852023884763,0.07180676104511577
F1_hist5,21,3389,1692,0.49926231926822073,0.9452212609889733,0.4824385907967884,0.5160877182416294,0.47261063049448665,0.4798815632713249
F1_hist5,22,3408,1662,0.4876760563380282,0.1550837160227883,0.4709173541139737,0.5044625111177535,0.07754185801139415,0.16597799747924546
F1_hist5,23,3352,1561,0.46569212410501193,7.596703991743326e-05,0.44885414527223483,0.48260865082636545,3.798351995871663e-05,0.0002710175478135457
F1_hist5,24,3334,1676,0.5026994601079784,0.7684427373245654,0.4857339691892185,0.5196587372831317,0.3842213686622827,0.4444734271341628
F1_hist5,25,3400,1696,0.4988235294117647,0.9044466228173095,0.48202752913594576,0.5156221852338417,0.45222331140865474,0.46876360296107555
F1_hist5,26,3408,1702,0.4994131455399061,0.9590164268755696,0.48263614795116205,0.5161914646789203,0.4795082134377848,0.4850198020979893
F1_hist5,27,3223,1495,0.46385355259075395,4.346929210186901e-05,0.44668975948869694,0.48110341139393953,2.1734646050934506e-05,0.00016876313404255028
F1_hist5,28,3372,1624,0.4816132858837485,0.03414500500967424,0.464778713399058,0.4984897053561346,0.01707250250483712,0.05496513001557317
F1_hist5,29,3196,1511,0.4727784730913642,0.002207331275467201,0.4555122727836837,0.49011003552057736,0.0011036656377336005,0.005946280170646337
F1_hist5,30,3135,1449,0.46220095693779906,2.4774951552899257e-05,0.44480513653103565,0.4796893011621565,1.2387475776449629e-05,0.00011679620017795364
